707205840405369984,2278,2,1080.20075758,727.535403074,72
16709227492492869632,2258,10,1128.09259259,650.302099128,168
8496933925840928768,2230,10,1021.92255892,613.728971041,6
16907560532576737280,2250,15,1079.08082707,619.654068428,68
5627220102881718272,2270,0,1137.14739229,738.742689025,159
12738089005979686912,2284,1,1132.72173913,650.062398983,25
11996569595178708992,2162,17,1036.91115312,582.618151812,71
4503762930159168000,2321,49,1135.29598662,570.137225473,2
13777533225692461056,2287,5,1128.49482759,618.937764941,20
6921512420387675136,2276,6,1264.55172414,673.905374827,513
5229978383465567232,2220,0,1156.4717833,612.894318453,157
6994185307021723648,2214,11,1155.36602452,485.639071078,29
5196914222817367040,2259,9,1136.70149254,676.652747533,64
16310876876865363968,2261,2,1137.76550388,693.924675092,84
10353068694150252544,2251,0,1113.01402806,671.970235799,101
1369985128717119744,2232,11,1182.22586873,624.13287581,82
13931191772713138176,2256,1,1123.44444444,677.757722836,195
5434879482248667136,2268,1,1150.32821497,776.925839342,79
15260861414885500928,2255,8,1090.91123188,559.500415501,48
792903776717555712,2236,0,1080.51016949,681.719482842,10
9243940304730122240,2210,13,1061.3639399,564.945274376,1
11597828533234794496,2252,1,1107.21377672,657.936406763,179
6333035778672950272,2315,2,1121.47071584,644.029807004,139
10500430542723784704,2258,3,1040.33055092,550.65166213,1
9256078044281124864,2204,69,1122.07757167,473.411604317,7
7035790936865071104,2248,30,1141.78671329,549.255293635,28
10681727913772779520,2317,0,1085.02669405,780.516956912,113
17573372659159486464,2195,2,1132.3283859,607.154409173,61
8719072292546797568,2234,1,1085.86956522,653.024030742,25
5027956324759975936,2247,3,1153.33858268,708.173554293,92
13784561418067308544,2228,10,1058.46516008,574.397970441,69
3515446613721128960,2255,2,1186.55256724,637.966215966,191
1348052028492711424,2262,17,1186.08416834,656.76543652,101
14332547660733372416,2264,0,1115.42063492,671.681346326,222
10250131470940610560,2291,10,1083.68779343,671.9673615,174
13469097557559687168,2259,3,1146.85438972,603.896817658,133
